yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
19912,371.16,12.147,19.41,0.458243743,0.0557,0.0901,0.0996,0.086,0.039079066,0.014247489,0.014775,0.007407407,0.0076118,0.015921863,0.004837834,-0.002382857,0.032155444,-0.002116097,-0.010368239,3.243,4.54
19913,387.86,12.275,17.82,0.441531837,0.0522,0.0861,0.0951,0.079,0.036716958,0.023289044,0.013925,0.008823529,0.082055884,0.072969516,0.003617664,-0.001770907,0.031651854,0.053455337,0.045291578,3.126,3.74
19914,417.09,12.203,15.97,0.420344417,0.0407,0.0831,0.0926,0.073,0.027805248,0.031812384,0.01305,0.005102041,0.072537013,0.059197207,0.005224232,-0.001253216,0.031424662,0.08367749,0.075244956,3.043,2.55
19921,403.69,12.324,16.19,0.402106034,0.0404,0.0835,0.0925,0.0797,0.026164391,0.041900538,0.010175,0.010152284,-0.036607067,-0.015108658,0.002255428,-0.001250872,0.031101939,-0.025077697,-0.032043147,2.912,5.36
19922,408.14,12.32,17.05,0.392042354,0.0366,0.0822,0.0905,0.0765,0.022355743,0.04307656,0.0101,0.006460876,0.046457658,0.043062474,0.003103992,-0.001273507,0.031913011,0.018067728,0.010232461,3.239,5.4
19923,417.8,12.395,18.04,0.397656972,0.0291,0.0792,0.0862,0.071,0.025470331,0.041137782,0.00915,0.007845934,0.066131843,0.050373964,0.002139252,-0.001076155,0.032178757,0.031026089,0.023338852,3.201,4.73
19924,435.71,12.385,19.09,0.394109614,0.0322,0.0798,0.0881,0.0726,0.028657357,0.038828688,0.007275,0.004246285,0.005317233,0.013791546,0.001923792,-0.001111524,0.032786478,0.052650579,0.04520142,3.033,3.6
19931,451.67,12.479,19.84,0.333613526,0.0295,0.0758,0.0815,0.0702,0.032794414,0.037106414,0.00805,0.011980268,0.066626422,0.0538681,0.002500472,-0.001669026,0.03285629,0.042551756,0.035269227,3.006,6.11
19932,450.53,12.523,19.33,0.325931248,0.0307,0.0733,0.0807,0.0668,0.031181711,0.041154021,0.007375,0.005571031,0.057369669,0.036721665,0.002395945,-0.00174797,0.033240883,0.004565955,-0.002721488,3.283,4.89
19933,458.93,12.519,20.41,0.322351822,0.0295,0.0666,0.0734,0.0627,0.035659504,0.041840711,0.007675,0.004847645,0.063860605,0.043454644,0.001361206,-0.001153731,0.033234852,0.024836405,0.017731275,3.197,5.81
19934,466.45,12.577,21.89,0.305267223,0.0306,0.0693,0.0769,0.0654,0.034600622,0.04572687,0.007375,0.004824259,-0.014581737,-0.007188312,0.001160261,-0.001012497,0.034152375,0.02384273,0.016965048,3.091,5.08
19941,445.77,12.707,22.71,0.307483805,0.035,0.0748,0.0813,0.0725,0.040485172,0.041905088,0.00765,0.009602195,-0.059148468,-0.046933873,0.002341667,-0.001099839,0.034200822,-0.038328891,-0.044897293,3.136,6.93
19942,444.27,12.835,25.2,0.308417077,0.0414,0.0797,0.0865,0.0774,0.037764234,0.033995564,0.00875,0.005434783,-0.03284623,-0.023811557,0.002921304,-0.000965722,0.034416648,0.003846638,-0.003588457,3.411,7.38
19943,462.71,12.923,27.33,0.290904659,0.0462,0.0834,0.0898,0.08,0.043246725,0.029003295,0.01035,0.00945946,-0.006618717,0.000470048,0.001689563,-0.000839298,0.034678413,0.049662176,0.042473728,3.285,7.94
19944,459.27,13.17,30.6,0.2915683,0.056,0.0846,0.091,0.0799,0.039822903,0.016594293,0.01155,0.002008032,0.020249244,0.012440619,0.00269975,-0.000576007,0.035685966,0.000290023,-0.007029142,3.338,8.35
19951,500.71,13.17,32.55,0.313876542,0.0573,0.0812,0.087,0.0755,0.03732216,0.014388598,0.014,0.011356045,0.06640024,0.065264619,0.001246097,-0.000566771,0.0366135,0.097525245,0.090412667,3.136,8.88
19952,544.75,13.361,34.43,0.286429618,0.0547,0.073,0.079,0.067,0.043330835,0.008274919,0.014325,0.007265522,0.112486668,0.090249714,0.001965127,-0.000267726,0.036539703,0.096229074,0.089035006,3.602,9.26
19953,584.41,13.575,35.18,0.272494998,0.0528,0.0732,0.0793,0.0663,0.043094949,0.006379353,0.013675,0.004590164,0.024015582,0.026553443,0.001361411,-0.000140216,0.036353112,0.08067723,0.07418093,3.499,8.69
19954,615.93,13.788,33.96,0.255026383,0.0514,0.0682,0.0749,0.0603,0.045136014,0.015526517,0.0132,0.001958225,0.083728932,0.066931468,0.001854517,-0.000146604,0.036641956,0.058943976,0.052655371,3.551,7.13
19961,645.5,14.104,34.04,0.239299615,0.0496,0.0735,0.0803,0.0684,0.04413701,0.016891913,0.01285,0.014332248,-0.069310586,-0.048484841,0.004393302,3.06E-05,0.037138276,0.055319885,0.049546025,3.452,8.96
19962,670.63,14.273,34.91,0.236443725,0.0509,0.0771,0.084,0.0703,0.040872769,0.027216174,0.0124,0.006422608,-0.001953661,0.001425262,0.002501933,-0.00084789,0.037670077,0.045068522,0.039355222,3.771,10.13
19963,687.31,14.664,36,0.227297318,0.0509,0.0766,0.0835,0.0704,0.040621728,0.029580737,0.012725,0.007019783,0.016523354,0.019737419,0.004162912,-0.000538694,0.038369185,0.031231376,0.025270405,3.89,9.78
19964,740.74,14.899,38.73,0.20734273,0.0491,0.072,0.0789,0.0673,0.04127176,0.024125687,0.012725,0.005069709,0.049348938,0.043571131,0.003019465,-0.000396755,0.038824006,0.083400285,0.077746335,3.786,9.86
19971,757.12,15.059,40.24,0.214780202,0.0514,0.0755,0.0818,0.0723,0.036829506,0.021148543,0.012275,0.008827238,-0.032417371,-0.022107667,0.004836335,-0.001308306,0.03918379,0.026406564,0.021598352,3.612,10.47
19972,885.14,15.161,40.55,0.184287615,0.0493,0.0741,0.0802,0.0688,0.032811242,0.010846707,0.01285,0.001875,0.055638573,0.050723364,0.006987,-0.000662098,0.039437708,0.175008337,0.169755809,3.873,10.44
19973,947.28,15.333,40.64,0.177967857,0.0495,0.0715,0.077,0.0649,0.03284111,0.014634266,0.012325,0.005614473,0.061429312,0.050755041,0.007101431,-0.00074286,0.040587108,0.076016628,0.071414611,4.062,9.87
19974,970.43,15.497,39.72,0.178800884,0.0516,0.0676,0.0732,0.0602,0.027793527,0.015559471,0.012375,0.000620347,0.068713726,0.046172014,0.014275306,-0.000888779,0.040219418,0.029561995,0.025237219,3.95,8.94
19981,"1,101.75",15.641,39.54,0.181140396,0.0503,0.0672,0.0732,0.0602,0.017854541,0.016488861,0.0129,0.005579665,0.01518764,0.016839774,0.004658976,-0.00073979,0.040902247,0.140503003,0.1363826,3.756,10.29
19982,"1,133.84",15.95,38.97,0.178060606,0.0498,0.0653,0.0713,0.0576,0.01856766,0.024010577,0.012575,0.004932183,0.044122639,0.033842528,0.004670931,-0.001168848,0.041622727,0.034101394,0.030264498,4.182,9.87
19983,"1,017.01",16.143,38.09,0.203248404,0.0461,0.064,0.0709,0.0517,0.020924732,0.024082909,0.01245,0.003680982,0.083485403,0.044684392,0.02153311,-0.001633908,0.041589479,-0.098199402,-0.101887152,4.255,8.99
19984,"1,229.23",16.195,37.71,0.173611315,0.0439,0.0622,0.0723,0.0542,0.013710483,0.020057029,0.011525,0.001833741,-0.015472063,0.008494487,0.010395104,-0.001033873,0.042103877,0.215715169,0.211540164,4.002,8.56
19991,"1,286.37",16.449,38.38,0.172897171,0.0444,0.0662,0.0753,0.0592,0.010864705,0.020668122,0.010975,0.006711409,-0.041296777,-0.028098889,0.010031351,-0.001075351,0.042313012,0.048847412,0.045506919,4.01,10.96
19992,"1,372.71",16.448,41.02,0.154227447,0.0457,0.0723,0.0802,0.0627,0.01759495,0.018868581,0.0111,0.007272727,-0.024110627,-0.035638436,0.008221521,-0.001144629,0.042696891,0.068697632,0.065011572,4.181,12.51
19993,"1,282.71",16.641,43.96,0.163684498,0.0468,0.0739,0.082,0.0646,0.019318617,0.020379679,0.011425,0.01022864,-0.004668047,-0.004699617,0.00704597,-0.000985703,0.043155686,-0.062152832,-0.065311069,4.448,11.93
19994,"1,469.25",16.692,48.17,0.147167259,0.052,0.0755,0.0819,0.0682,0.017930415,0.017888756,0.0117,0.002382371,-0.022679644,-0.007934625,0.007379017,0.000064278,0.042574262,0.154383237,0.151038079,4.053,12.77
20001,"1,498.58",16.762,50.95,0.149973562,0.0569,0.0768,0.0837,0.0618,0.00610556,0.01829139,0.013,0.017231135,0.088329651,0.024100344,0.014885082,0.000184884,0.043372637,0.025744412,0.022780259,4.08,13.74
20002,"1,454.60",16.704,51.92,0.156777962,0.0569,0.0767,0.0848,0.0622,0.014880454,0.007124213,0.014225,0.007009346,0.011124841,0.004291426,0.015486928,-0.000246743,0.043920244,-0.028359973,-0.031071447,4.123,13.48
20003,"1,436.51",16.347,53.7,0.153789463,0.06,0.0762,0.0835,0.0612,0.013726618,0.004468926,0.014225,0.007540603,0.025360271,0.036387202,0.004704681,-0.000508488,0.043573482,-0.005642104,-0.00838513,4.091,13.71
20004,"1,320.28",16.271,50,0.151851504,0.0577,0.0721,0.0802,0.0558,0.022464744,-0.002261747,0.015,0.001727116,0.076740606,0.058753145,0.014139872,-0.000524853,0.042939752,-0.076814951,-0.079549152,3.977,9.07
20011,"1,160.33",15.973,45.44,0.133113551,0.0442,0.0698,0.0784,0.0559,0.012955969,-0.005213444,0.014425,0.012643678,0.012064439,0.046013668,0.014609023,-0.001864067,0.04180515,-0.121308278,-0.123970005,3.782,9.18
20012,"1,224.42",15.686,36.79,0.125209433,0.0349,0.0718,0.0797,0.059,0.014488825,0.005040755,0.01105,0.010215664,-0.019451394,0.005732311,0.011470857,-0.001592206,0.040263313,0.05863502,0.055455138,3.836,4.83
20013,"1,040.94",15.736,28.31,0.148628588,0.0264,0.0717,0.0803,0.0542,0.019416841,0.008652734,0.008725,0.001685393,0.067552254,0.03626876,0.012288728,-0.001822915,0.039189315,-0.146723048,-0.149805576,4.141,5.23
20014,"1,148.08",15.74,24.69,0.131217846,0.0169,0.0677,0.0805,0.0575,0.014939324,0.013464825,0.0066,-0.00897364,-0.021132636,0.014861734,0.007237089,-0.001336167,0.037530798,0.10982139,0.105850065,3.981,5.45
20021,"1,147.39",15.73,24.7,0.236833402,0.0179,0.0681,0.0811,0.0604,0.012625933,0.013759444,0.004225,0.01188455,-0.019251299,0.000321039,0.006766544,-0.00223859,0.03617748,0.002786409,-0.000601495,3.772,9.19
20022,989.81,16.039,26.74,0.266572502,0.017,0.0663,0.0795,0.0566,0.012874455,0.02752277,0.004475,0.006152125,0.0620574,0.044455157,0.010129335,-0.002606791,0.035374223,-0.134799258,-0.138159305,4.145,6.87
20023,815.29,15.799,30.04,0.324555156,0.0163,0.0615,0.074,0.048,0.016944558,0.029299296,0.00425,0.006114508,0.123062937,0.089840701,0.032118194,-0.003212615,0.034896832,-0.169063905,-0.172761339,3.901,8.53
20024,879.82,16.074,27.59,0.295385896,0.0119,0.0621,0.0745,0.0484,0.019694466,0.025735981,0.004075,-0.000552486,0.007367745,0.024379637,0.018678249,-0.004144305,0.034089946,0.085020423,0.079884787,4.256,3
20031,848.18,16.224,30.32,0.286117701,0.0113,0.0589,0.0695,0.049,0.027519928,0.024098595,0.002975,0.018242123,0.008154918,0.020326997,0.013867812,NaN,0.033950354,-0.031538732,-0.036038086,3.922,11.92
20032,974.51,16.165,34.55,0.254488337,0.0092,0.0497,0.0619,0.0445,0.018937812,0.001261884,0.002825,-0.002714441,0.053525781,0.055762166,0.00729083,NaN,0.034579834,0.155048585,0.150073915,4.086,11.1
20033,995.97,16.586,38.58,0.246541783,0.0094,0.0572,0.0679,0.0523,0.020311715,0.007323401,0.0023,0.008165487,-0.033174485,-0.021256298,0.004881161,NaN,0.034977995,0.026736691,0.0222878,4.322,12.56
20034,"1,111.92",17.385,48.74,0.218739865,0.009,0.0562,0.066,0.0515,0.015733977,0.006946316,0.00235,-0.004859611,-0.017453428,-0.001516917,0.003220976,NaN,0.035067927,0.120496395,0.115199453,5.055,13.16
20041,"1,126.21",18.024,52,0.281731466,0.0094,0.0533,0.0611,0.0474,0.018804376,0.012282038,0.00225,0.016820402,0.056824134,0.049067488,0.003570794,NaN,0.034375182,0.018268051,0.014165541,4.561,15.18
20042,"1,140.84",18.602,56.15,0.279631603,0.0127,0.0601,0.0678,0.0532,0.014509222,0.014491427,0.00235,0.012273212,-0.052269682,-0.051379984,0.002979323,NaN,0.034907514,0.017278368,0.013034749,4.664,15.25
20043,"1,114.58",19.163,57.77,0.289485302,0.0165,0.0546,0.0627,0.0488,0.012296511,0.009132256,0.003175,0.001054296,0.065746128,0.069318931,0.00292563,NaN,0.035552703,-0.018772096,-0.023114478,4.883,14.18
20044,"1,211.92",19.442,58.55,0.270619243,0.0219,0.0547,0.0615,0.0484,0.018847433,0.013001505,0.004125,0.002106372,0.016430631,0.02167105,0.002815744,NaN,0.035904073,0.091767093,0.083440846,5.334,13.94
20051,"1,180.59",20.225,60.22,0.319856889,0.0274,0.054,0.0606,0.0488,0.021123321,0.009097231,0.005475,0.015764582,0.009494925,0.003487388,0.002515744,NaN,0.036032533,-0.020361172,-0.024817396,5.344,16.85
20052,"1,191.33",20.925,63.26,0.326979057,0.0297,0.0496,0.0586,0.0429,0.023265689,0.00536566,0.00685,0.006207967,0.08594521,0.078155272,0.003227428,NaN,0.036215113,0.01420088,0.009614905,5.364,18.29
20053,"1,228.81",21.471,66.47,0.31789151,0.0342,0.0513,0.0603,0.0464,0.025336671,0.006716401,0.007425,0.022107969,-0.030378724,-0.032616796,0.002006532,NaN,0.036560103,0.036154552,0.031576001,5.429,17.39
20054,"1,248.29",22.216,69.83,0.313477957,0.0389,0.0537,0.0632,0.0461,0.026523343,0.003058886,0.00855,-0.010060362,0.014226663,0.011557246,0.002790883,NaN,0.036421737,0.021955614,0.016960673,6.079,17.3
